series_id,Manufacturing,footnote_codes_x,date,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes_y,begin_year,begin_period,end_year,end_period
CEU3000000001    ,9692.0,,1940-04-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8471.0,,1940-04-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8359.0,,1940-04-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9817.0,,1940-04-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CES3000000001    ,9810.0,,1940-05-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,9661.0,,1940-05-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8323.0,,1940-05-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000006    ,8464.0,,1940-05-01,30,30000000,06,S,"Production and nonsupervisory employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
CEU3000000006    ,8369.0,,1940-06-01,30,30000000,06,U,"Production and nonsupervisory employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CEU3000000001    ,9715.0,,1940-06-01,30,30000000,01,U,"All employees, thousands, manufacturing, not seasonally adjusted",,1939,M01,2023,M02
CES3000000025    ,9820.0,,1940-06-01,30,30000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, manufacturing, seasonally adjusted",,1939,M03,2022,M12
CES3000000001    ,9832.0,,1940-06-01,30,30000000,01,S,"All employees, thousands, manufacturing, seasonally adjusted",,1939,M01,2023,M02
