series_id,TotalNonfarm,footnote_codes_x,date,supersector_code,industry_code,data_type_code,seasonal,series_title,footnote_codes_y,begin_year,begin_period,end_year,end_period
CES0000000026    ,442.0,,1940-10-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,33806.0,,1940-10-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,33267.0,,1940-10-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,439.0,,1940-11-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000001    ,33669.0,,1940-11-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,34000.0,,1940-11-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,34174.0,,1940-12-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,455.0,,1940-12-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,34653.0,,1940-12-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000025    ,33703.0,,1940-12-01,00,00000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M03,2022,M12
CES0000000001    ,34481.0,,1941-01-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,405.0,,1941-01-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,33833.0,,1941-01-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,34843.0,,1941-02-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,391.0,,1941-02-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,34119.0,,1941-02-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,306.0,,1941-03-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000001    ,35092.0,,1941-03-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,34592.0,,1941-03-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000025    ,34805.0,,1941-03-01,00,00000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M03,2022,M12
CES0000000001    ,35468.0,,1941-04-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,329.0,,1941-04-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,35197.0,,1941-04-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,36182.0,,1941-05-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,446.0,,1941-05-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,36062.0,,1941-05-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,36650.0,,1941-06-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000025    ,36100.0,,1941-06-01,00,00000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M03,2022,M12
CEU0000000001    ,36736.0,,1941-06-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,519.0,,1941-06-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000001    ,37137.0,,1941-07-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,556.0,,1941-07-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,37262.0,,1941-07-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,37544.0,,1941-08-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,454.0,,1941-08-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,37799.0,,1941-08-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,37835.0,,1941-09-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000025    ,37505.0,,1941-09-01,00,00000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M03,2022,M12
CES0000000026    ,395.0,,1941-09-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,38354.0,,1941-09-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,37949.0,,1941-10-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,38407.0,,1941-10-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,271.0,,1941-10-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000026    ,160.0,,1941-11-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,38293.0,,1941-11-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,38024.0,,1941-11-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000025    ,38026.0,,1941-12-01,00,00000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M03,2022,M12
CES0000000026    ,90.0,,1941-12-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000001    ,38104.0,,1941-12-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,38548.0,,1941-12-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,38347.0,,1942-01-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,37706.0,,1942-01-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,133.0,,1942-01-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000001    ,38512.0,,1942-02-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,163.0,,1942-02-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,37833.0,,1942-02-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,38488.0,,1942-03-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,38935.0,,1942-03-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000025    ,38598.0,,1942-03-01,00,00000000,25,S,"All employees, quarterly averages, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M03,2022,M12
CES0000000026    ,277.0,,1942-03-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CEU0000000001    ,39138.0,,1942-04-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,335.0,,1942-04-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000001    ,39352.0,,1942-04-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CEU0000000001    ,39686.0,,1942-05-01,00,00000000,01,U,"All employees, thousands, total nonfarm, not seasonally adjusted",,1939,M01,2023,M02
CES0000000001    ,39771.0,,1942-05-01,00,00000000,01,S,"All employees, thousands, total nonfarm, seasonally adjusted",,1939,M01,2023,M02
CES0000000026    ,420.0,,1942-05-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
CES0000000026    ,365.0,,1942-06-01,00,00000000,26,S,"All employees, 3-month average change, seasonally adjusted, thousands, total nonfarm, seasonally adjusted",,1939,M04,2023,M02
